Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1760.4841194152832
FDW14,OUT017,1601.4528694152832
NCN55,OUT010,609.0114631652832
FDQ58,OUT017,2483.015369415283
FDY38,OUT027,6417.788806915283
FDH56,OUT046,1930.0837287902832
FDL48,OUT018,863.5778694152832
FDC48,OUT027,2553.794666290283
FDN33,OUT045,1231.4059944152832
FDA36,OUT017,3340.933338165283
FDT44,OUT017,1897.3513069152832
FDQ56,OUT045,1488.0407600402832
NCC54,OUT019,-9570204.344005585
FDU11,OUT049,2328.454822540283
DRL59,OUT013,1127.7140998840332
FDM24,OUT049,2301.206775665283
FDI57,OUT045,4377.589588165283
DRC12,OUT018,1918.7575569152832
NCM42,OUT027,3279.595447540283
FDA46,OUT010,451.7692756652832
FDA31,OUT013,2999.253650665283
NCJ31,OUT035,2893.445056915283
FDG52,OUT046,764.7907600402832
NCL19,OUT019,1033.8552131652832
FDS10,OUT035,2951.605213165283
FDX22,OUT010,815.5544319152832
NCF19,OUT035,966.9128303527832
NCE06,OUT046,2307.077869415283
DRC27,OUT046,3002.077869415283
FDE21,OUT035,2211.964588165283
NCR42,OUT019,97.0388069152832
FDX51,OUT018,2874.616931915283
NCR06,OUT018,723.5798225402832
FDU31,OUT027,5788.519275665283
FDU59,OUT017,2335.359119415283
FDR03,OUT027,5630.023181915283
FDS49,OUT027,2323.830799102783
FDD48,OUT010,345.4138069152832
NCF18,OUT017,3233.882556915283
NCD43,OUT027,2303.719470977783
NCD54,OUT018,2232.613025665283
FDY19,OUT010,338.1247444152832
NCY54,OUT017,2754.741931915283
NCL19,OUT018,1682.3044319152832
FDP23,OUT010,463.8434944152832
FDC26,OUT013,1493.7067756652832
FDR14,OUT010,371.5475959777832
NCS41,OUT035,3320.011463165283
FDF41,OUT035,3437.538806915283
FDU34,OUT046,2244.751697540283
DRH11,OUT046,588.9870491027832
FDM03,OUT013,1903.9655647277832
FDS31,OUT017,3423.980213165283
FDJ20,OUT017,1990.4606819152832
FDV44,OUT027,5235.277088165283
FDG02,OUT049,2931.835681915283
FDA09,OUT013,3498.151111602783
FDT04,OUT013,690.4169807434082
FDL58,OUT019,414.8591194152832
FDE52,OUT045,1586.7907600402832
FDW12,OUT035,2307.714588165283
FDL51,OUT017,3091.702869415283
NCY42,OUT027,3280.208728790283
FDR07,OUT017,1589.2224006652832
FDN40,OUT045,1242.4099006652832
FDB35,OUT027,2662.393299102783
FDA22,OUT017,3704.132556915283
NCL06,OUT046,4276.960681915283
FDI35,OUT013,3430.032947540283
NCW42,OUT045,3183.714588165283
NCX06,OUT049,3109.948963165283
FDC37,OUT027,3325.687244415283
FDZ14,OUT018,1772.0349006652832
DRG49,OUT049,4611.198963165283
NCG06,OUT045,3055.695056915283
DRC36,OUT045,2046.0349006652832
FDV21,OUT019,370.7731819152832
FDB53,OUT046,2222.486072540283
DRP47,OUT019,7550627.741931915
FDA14,OUT013,2503.590564727783
DRC24,OUT035,2401.527088165283
FDW21,OUT018,1637.5349006652832
NCH29,OUT046,1939.8942756652832
FDU58,OUT013,2817.995838165283
FDY27,OUT017,3157.866931915283
FDV56,OUT035,1727.7809944152832
FDT59,OUT046,3692.296619415283
FDB23,OUT046,3464.847400665283
FDR49,OUT045,852.0583381652832
FDB03,OUT010,337.3630256652832
FDN39,OUT045,2246.066150665283
FDX02,OUT027,6164.878650665283
FDQ16,OUT027,3260.751697540283
FDU35,OUT018,1693.2302131652832
NCT29,OUT013,1265.5622444152832
FDZ27,OUT046,440.8298225402832
FDN57,OUT017,2482.038806915283
FDA03,OUT018,2163.222400665283
FDZ36,OUT045,3298.249744415283
NCU05,OUT013,1235.0983772277832
FDT39,OUT018,1621.7927131652832
FDK60,OUT017,2605.741931915283
FDZ25,OUT017,3385.280994415283
FDG12,OUT046,3077.958728790283
DRB01,OUT019,-2197026.5549430847
NCC43,OUT027,5268.316150665283
FDX13,OUT019,696.7849006652832
FDM22,OUT049,1147.9352912902832
FDJ03,OUT027,1476.5173225402832
FDU14,OUT018,3825.296619415283
FDB33,OUT010,289.3474006652832
FDP27,OUT046,3548.280994415283
FDO38,OUT010,183.7458381652832
FDE28,OUT027,6372.284900665283
FDO27,OUT035,1698.3239631652832
DRL23,OUT027,2491.341541290283
FDS28,OUT046,1412.8415412902832
FDX24,OUT013,1565.7975959777832
FDZ02,OUT035,2238.165760040283
FDL46,OUT045,1897.0173225402832
FDS60,OUT027,4845.200916290283
NCO06,OUT017,577.3884162902832
FDO16,OUT035,1101.8141975402832
FDC60,OUT049,1645.3727912902832
FDA48,OUT018,3324.124744415283
FDZ36,OUT027,5300.042713165283
FDK27,OUT045,1430.5934944152832
FDW23,OUT018,690.3874397277832
FDM14,OUT018,727.8044319152832
FDM14,OUT013,1658.4850959777832
FDW60,OUT018,2554.015369415283
FDE21,OUT013,2328.260486602783
NCM42,OUT035,1438.5895881652832
FDY59,OUT010,-203.8479118347168
DRI49,OUT049,370.5798225402832
FDT28,OUT019,397.4724006652832
FDQ22,OUT018,1171.3845100402832
FDR60,OUT049,432.3356819152832
FDC50,OUT019,252.3845100402832
FDV24,OUT013,2424.876697540283
DRF48,OUT010,392.6403694152832
FDQ47,OUT046,371.1013069152832
DRN36,OUT049,1076.1227912902832
