Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1776.767578125
FDW14,OUT017,1434.71875
NCN55,OUT010,1857.1962890625
FDQ58,OUT017,2632.8564453125
FDY38,OUT027,5242.4755859375
FDH56,OUT046,1866.9951171875
FDL48,OUT018,513.119140625
FDC48,OUT027,2789.9873046875
FDN33,OUT045,1416.5400390625
FDA36,OUT017,3063.9765625
FDT44,OUT017,1912.4052734375
FDQ56,OUT045,1376.7744140625
NCC54,OUT019,1678.7001953125
FDU11,OUT049,2075.8916015625
DRL59,OUT013,745.6689453125
FDM24,OUT049,2456.8876953125
FDI57,OUT045,3410.423828125
DRC12,OUT018,2518.1962890625
NCM42,OUT027,3309.5859375
FDA46,OUT010,1090.9033203125
FDA31,OUT013,2798.26171875
NCJ31,OUT035,3807.048828125
FDG52,OUT046,718.6640625
NCL19,OUT019,472.9833984375
FDS10,OUT035,3019.619140625
FDX22,OUT010,1472.501953125
NCF19,OUT035,779.6728515625
NCE06,OUT046,2545.5205078125
DRC27,OUT046,3581.939453125
FDE21,OUT035,2177.982421875
NCR42,OUT019,-1313.7978515625
FDX51,OUT018,2898.146484375
NCR06,OUT018,480.4091796875
FDU31,OUT027,5009.6123046875
FDU59,OUT017,2736.0751953125
FDR03,OUT027,4806.6064453125
FDS49,OUT027,2775.80859375
FDD48,OUT010,-35.634765625
NCF18,OUT017,2973.1923828125
NCD43,OUT027,3031.591796875
NCD54,OUT018,1926.0146484375
FDY19,OUT010,126.716796875
NCY54,OUT017,2956.7421875
NCL19,OUT018,2130.0458984375
FDP23,OUT010,1495.6494140625
FDC26,OUT013,1843.7119140625
FDR14,OUT010,-1092.69140625
NCS41,OUT035,2932.6357421875
FDF41,OUT035,3972.96484375
FDU34,OUT046,2020.1494140625
DRH11,OUT046,822.828125
FDM03,OUT013,1644.1005859375
FDS31,OUT017,3059.380859375
FDJ20,OUT017,2066.8427734375
FDV44,OUT027,4557.400390625
FDG02,OUT049,3082.142578125
FDA09,OUT013,2921.62890625
FDT04,OUT013,537.2919921875
FDL58,OUT019,2193.15625
FDE52,OUT045,1498.376953125
FDW12,OUT035,2441.78125
FDL51,OUT017,3402.4580078125
NCY42,OUT027,3849.642578125
FDR07,OUT017,1725.6279296875
FDN40,OUT045,2245.8408203125
FDB35,OUT027,3009.615234375
FDA22,OUT017,2708.296875
NCL06,OUT046,4284.1796875
FDI35,OUT013,3037.298828125
NCW42,OUT045,3309.3232421875
NCX06,OUT049,2942.7646484375
FDC37,OUT027,3206.7529296875
FDZ14,OUT018,1738.103515625
DRG49,OUT049,4069.9794921875
NCG06,OUT045,3903.455078125
DRC36,OUT045,2478.552734375
FDV21,OUT019,57.7802734375
FDB53,OUT046,2367.17578125
DRP47,OUT019,2093.328125
