Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1718.2028273650521
FDW14,OUT017,1406.2784605212084
NCN55,OUT010,2831.0753223109305
FDQ58,OUT017,2457.016378482829
FDY38,OUT027,4529.490308733384
FDH56,OUT046,1790.610315659806
FDL48,OUT018,583.0966221265434
FDC48,OUT027,2111.3470325857065
FDN33,OUT045,1544.3296305068975
FDA36,OUT017,2947.017561255566
FDT44,OUT017,1873.6683788895725
FDQ56,OUT045,1373.4874687751683
NCC54,OUT019,2726.5829755724562
FDU11,OUT049,1965.4570311014504
DRL59,OUT013,953.9293196757924
FDM24,OUT049,2443.523967362941
FDI57,OUT045,3127.979347400006
DRC12,OUT018,2766.0232946116653
NCM42,OUT027,2548.728579413586
FDA46,OUT010,2089.46257135327
FDA31,OUT013,2890.8255277675917
NCJ31,OUT035,3794.2826471683925
FDG52,OUT046,660.741058892258
NCL19,OUT019,1208.689690120494
FDS10,OUT035,2882.3461136121277
FDX22,OUT010,2377.635486041775
NCF19,OUT035,797.9620001742235
NCE06,OUT046,2429.0385122847556
DRC27,OUT046,3714.66630383861
FDE21,OUT035,1913.6580254063997
NCR42,OUT019,-520.4814132934301
FDX51,OUT018,2855.3397930146357
NCR06,OUT018,435.235569619785
FDU31,OUT027,4293.222895126963
FDU59,OUT017,2597.143332516824
FDR03,OUT027,4082.043240716784
FDS49,OUT027,2113.8047469108687
FDD48,OUT010,858.567922112888
NCF18,OUT017,2998.748152570551
NCD43,OUT027,2447.0950415533734
NCD54,OUT018,1997.227390173024
FDY19,OUT010,919.7871195180021
NCY54,OUT017,2731.7731814552417
NCL19,OUT018,2038.3898065565468
FDP23,OUT010,2460.446521466891
FDC26,OUT013,1904.5899834249772
FDR14,OUT010,-66.20851340134283
NCS41,OUT035,2925.1219480446625
FDF41,OUT035,3929.4489704746725
FDU34,OUT046,1869.0409648521563
DRH11,OUT046,815.4258475819213
FDM03,OUT013,1801.0900346302687
FDS31,OUT017,2897.4472248825377
FDJ20,OUT017,1975.8483243893088
FDV44,OUT027,3837.51424329093
FDG02,OUT049,3005.0148589588407
FDA09,OUT013,2979.3564220913468
FDT04,OUT013,725.1253606036364
FDL58,OUT019,3111.3417772864354
FDE52,OUT045,1452.747513036999
FDW12,OUT035,2357.344500170332
FDL51,OUT017,3381.1741000096235
NCY42,OUT027,3044.052668410122
FDR07,OUT017,1552.3047020928122
FDN40,OUT045,2393.57385952928
FDB35,OUT027,2299.594726633134
FDA22,OUT017,2618.9710529357058
NCL06,OUT046,4000.8126304204675
FDI35,OUT013,2988.450768474477
NCW42,OUT045,3449.3242474094473
NCX06,OUT049,2835.828685792998
FDC37,OUT027,2533.0670864708422
FDZ14,OUT018,1722.5379485323565
DRG49,OUT049,3871.150238724184
NCG06,OUT045,3991.572453928397
DRC36,OUT045,2748.1657354178815
FDV21,OUT019,930.9767422288655
FDB53,OUT046,2237.1902703087007
DRP47,OUT019,2912.7819492037675
FDA14,OUT013,2390.91634199902
DRC24,OUT035,2440.2386985440603
FDW21,OUT018,1385.0774693716571
NCH29,OUT046,1436.5229568316108
FDU58,OUT013,3128.3218444512504
FDY27,OUT017,2804.2097926393562
FDV56,OUT035,1818.5665944746538
FDT59,OUT046,3502.8041305311544
FDB23,OUT046,3472.628765054446
FDR49,OUT045,757.2766632578928
FDB03,OUT010,2863.669137975121
FDN39,OUT045,2625.78595914597
FDX02,OUT027,4309.410135539061
FDQ16,OUT027,2531.283713448073
FDU35,OUT018,1342.7246279628516
NCT29,OUT013,2046.264131258135
FDZ27,OUT046,674.8413308604281
FDN57,OUT017,2211.4834404044354
FDA03,OUT018,2066.522600359118
FDZ36,OUT045,2955.992099754025
NCU05,OUT013,1417.370737331871
FDT39,OUT018,2165.547925370637
FDK60,OUT017,1577.2490384423845
FDZ25,OUT017,2718.622142123042
FDG12,OUT046,1862.4712398587917
DRB01,OUT019,1967.7736675827919
NCC43,OUT027,4733.016455506542
FDX13,OUT019,2873.01905510593
FDM22,OUT049,905.516437105126
FDJ03,OUT027,1630.0018418210757
FDU14,OUT018,3659.892787444383
FDB33,OUT010,1571.89530180648
FDP27,OUT046,2890.194337154904
FDO38,OUT010,276.9636338794039
FDE28,OUT027,4498.005677507084
FDO27,OUT035,1591.3942019281033
DRL23,OUT027,2514.9822310481077
FDS28,OUT046,827.6543627911285
FDX24,OUT013,1592.9996221298481
FDZ02,OUT035,1607.6083730124014
FDL46,OUT045,1824.407710944722
FDS60,OUT027,3633.840510459082
NCO06,OUT017,530.2826431378452
FDO16,OUT035,1392.0012989829454
FDC60,OUT049,1446.705528179525
FDA48,OUT018,3211.0414044456397
FDZ36,OUT027,3795.7478013652158
FDK27,OUT045,1903.1438541899656
FDW23,OUT018,386.6021791046462
FDM14,OUT018,1506.0588644318393
FDM14,OUT013,1839.3251668522676
FDW60,OUT018,2584.803809905638
FDE21,OUT013,1986.1992601042043
NCM42,OUT035,1772.3900510236808
FDY59,OUT010,560.4120609774437
DRI49,OUT049,1314.0081151019958
FDT28,OUT019,1330.741974737215
FDQ22,OUT018,406.236192406546
FDR60,OUT049,1245.0721376928186
FDC50,OUT019,472.01957859428865
FDV24,OUT013,2516.1923583111043
DRF48,OUT010,2013.782074012342
FDQ47,OUT046,536.3253552571454
DRN36,OUT049,1561.5220061847185
NCY06,OUT035,2066.3085737340607
FDE52,OUT035,1498.797825222549
NCB54,OUT045,1996.8704861304154
NCF31,OUT035,2434.340848534519
FDJ08,OUT027,3818.0272720565486
NCC07,OUT017,1662.7448280245067
NCD19,OUT027,1674.8977737753153
FDL46,OUT049,1890.0659767170837
FDM20,OUT045,3862.974727253422
NCI06,OUT010,1867.8645371453758
DRM11,OUT035,4120.1219473866495
NCH07,OUT018,2227.2265845887428
FDS23,OUT013,2168.01813631982
FDO49,OUT018,581.8678532259686
FDS35,OUT049,1069.4328886718704
DRK39,OUT045,1294.299121906711
DRI39,OUT049,948.1007571974155
FDV04,OUT017,2522.399906780828
NCN14,OUT035,2902.2373380962513
FDH08,OUT013,3756.6388642463394
FDS20,OUT046,2792.1161058803855
FDV40,OUT049,1219.7714604371874
FDZ48,OUT010,801.8612986258304
FDS24,OUT027,2246.894302490946
FDK44,OUT049,2780.021492569211
FDS48,OUT045,2359.341034963448
FDK26,OUT010,2042.3478495116246
FDD23,OUT045,2996.2009452414686
NCH54,OUT017,2521.028575312626
NCP14,OUT010,724.183223751259
FDM60,OUT010,-279.6532679509538
FDV24,OUT017,2391.931780159369
FDH08,OUT018,3358.0237943459406
FDS12,OUT027,2834.3954233483064
FDR39,OUT027,3666.1656761456857
FDP12,OUT027,1447.818091148004
DRF60,OUT027,4527.99720473134
FDC09,OUT035,1718.6766032635092
FDF50,OUT018,2892.1921988620425
FDG28,OUT035,3899.021633940312
NCE19,OUT017,885.325001557735
NCM53,OUT010,758.8406599003686
NCN18,OUT049,1768.6963894340179
FDF32,OUT035,3185.536273433224
FDF11,OUT013,3913.5569362008914
DRI59,OUT049,3564.32709848642
NCG54,OUT035,2699.2108138046315
FDM44,OUT046,1514.4549212682534
FDT57,OUT018,3449.8738465561983
FDV24,OUT046,2283.8739119520833
FDI50,OUT019,2600.9070721074277
FDS09,OUT035,907.1778906469378
NCC31,OUT027,3241.2102303323263
FDQ07,OUT019,2454.6904008945558
FDC22,OUT017,3052.3324503292692
FDZ56,OUT046,2583.4412679956076
FDZ40,OUT019,-162.7567491658874
FDS46,OUT027,2728.008508844396
DRD24,OUT045,2201.6103841931667
FDV45,OUT017,2974.4835145599914
FDL26,OUT045,2441.50610811508
FDA56,OUT018,1720.5315921308538
FDN27,OUT046,1756.247985587133
FDM20,OUT049,3877.341524783144
FDO16,OUT017,1321.6267732903896
FDL03,OUT035,3137.4153736883127
FDE58,OUT046,1751.5354115824966
FDI02,OUT027,2658.195520825688
NCC55,OUT019,-419.53714042601575
FDR03,OUT018,3025.270782174955
FDB14,OUT017,1516.8992883585915
FDR45,OUT013,3906.003654184819
NCN07,OUT017,2044.6066378708483
FDM51,OUT019,612.8419381849997
FDT52,OUT027,4680.440875087916
FDL26,OUT046,2324.671644594942
NCZ42,OUT046,3635.763000073366
DRI47,OUT019,1264.3038675170853
FDW40,OUT013,2363.7324477698194
FDN34,OUT046,2589.798375817959
FDS01,OUT035,2863.4891908175487
NCG55,OUT045,1812.3796179427572
FDC11,OUT035,1427.2125075135732
FDX35,OUT018,3347.6603509985334
NCB06,OUT046,2415.8563354843595
FDR09,OUT019,3041.2721240396004
FDC53,OUT017,1538.8891155569931
FDY45,OUT013,4134.571099917039
FDA22,OUT010,1706.1750168025674
FDE02,OUT035,1579.542927296142
FDW21,OUT045,1621.5357393494978
FDV34,OUT046,1109.050712171295
FDS59,OUT049,1782.5603375707692
NCW17,OUT017,2017.0540810289294
NCK54,OUT046,1738.2896174356902
FDG17,OUT019,2820.5084136724213
FDG35,OUT017,2753.5156645983343
FDD08,OUT010,-308.9993897976966
NCO07,OUT017,3320.3356061178138
FDJ10,OUT010,1327.4396554809982
FDW36,OUT017,1644.4399967103618
FDW21,OUT010,684.5915545768969
FDY19,OUT017,1895.5767026746885
DRE03,OUT013,862.5325694178705
NCC55,OUT049,632.2739850101837
FDH52,OUT010,90.84646285051247
FDO09,OUT017,4179.9959205371415
FDU43,OUT045,3792.5245991803445
FDX09,OUT010,1804.6735425041584
FDH40,OUT019,304.4257703876191
FDW58,OUT017,1645.2820668465797
FDC47,OUT017,3563.716156121359
NCR41,OUT035,1540.4093177642012
DRG49,OUT035,3885.7206817135498
FDC52,OUT027,3239.034571388204
FDY13,OUT046,1115.3503322724084
FDY35,OUT013,880.8940523335411
FDI35,OUT017,2879.7604440211194
NCU18,OUT049,2244.2681948862805
FDY33,OUT018,2299.8630230987296
FDC15,OUT027,3283.066408888332
FDU01,OUT049,2998.6127984642285
NCU42,OUT046,2560.888884972761
NCV29,OUT018,2551.5848231323694
NCY30,OUT017,2865.712731649584
FDQ46,OUT049,1807.2508082989698
FDG58,OUT027,3275.5452704730824
FDK33,OUT017,3352.04624249844
NCD07,OUT045,1808.2157078421742
NCX29,OUT027,3092.0353934382288
NCT42,OUT013,2448.371724272496
DRN59,OUT035,786.7362455175528
FDI44,OUT035,1333.1813486830063
FDA45,OUT049,2816.830806642112
FDP31,OUT045,1077.2239700386099
FDY01,OUT046,1776.7531630539538
FDT09,OUT018,1874.4413832623577
DRH03,OUT027,2309.2797023805706
FDA36,OUT018,2697.541651339309
NCF31,OUT017,2404.414012239308
FDG14,OUT049,2452.3627224860106
FDG28,OUT027,4698.4017296101465
FDU14,OUT049,3931.5340178426727
FDY47,OUT019,1082.6204917352263
FDI56,OUT049,1495.2614575738323
DRD01,OUT013,1055.409867374656
FDM22,OUT046,808.1516095182685
FDH33,OUT013,795.9406171964827
DRZ24,OUT013,1991.4529155204868
NCQ38,OUT046,1557.2720840080453
FDO16,OUT027,2153.675541559887
FDU07,OUT027,3193.1489189681542
NCB07,OUT013,3156.459419749593
