Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2157.1835706292673
FDW14,OUT017,2142.2372108805835
NCN55,OUT010,2254.601205420082
FDQ58,OUT017,2191.5051052500003
FDY38,OUT027,2249.126994934591
FDH56,OUT046,2163.9406605012405
FDL48,OUT018,2115.159084519939
FDC48,OUT027,2137.6820868521054
FDN33,OUT045,2148.36624863912
FDA36,OUT017,2214.6848265784456
FDT44,OUT017,2164.811871808735
FDQ56,OUT045,2140.8336977586887
NCC54,OUT019,2253.6304603670847
FDU11,OUT049,2167.695440084885
DRL59,OUT013,2116.5607059186004
FDM24,OUT049,2189.0332050528386
FDI57,OUT045,2223.3317479604293
DRC12,OUT018,2218.5602398975025
NCM42,OUT027,2158.514325165268
FDA46,OUT010,2219.6478352394456
FDA31,OUT013,2206.0379051964624
NCJ31,OUT035,2253.2666674376146
FDG52,OUT046,2113.4396536180925
NCL19,OUT019,2182.274223457632
FDS10,OUT035,2210.2024611358615
FDX22,OUT010,2231.1285580248273
NCF19,OUT035,2113.3401198725896
NCE06,OUT046,2196.129204417906
DRC27,OUT046,2256.730412677683
FDE21,OUT035,2163.5041089858764
NCR42,OUT019,2102.052789408514
FDX51,OUT018,2220.5439299833156
NCR06,OUT018,2109.562348575803
FDU31,OUT027,2237.1369620479513
FDU59,OUT017,2198.214319972455
FDR03,OUT027,2227.930963691959
FDS49,OUT027,2137.1765601973143
FDD48,OUT010,2161.662152625385
NCF18,OUT017,2218.510473024751
NCD43,OUT027,2153.934317700414
NCD54,OUT018,2183.024801029714
FDY19,OUT010,2163.574975848537
NCY54,OUT017,2205.2624441880043
NCL19,OUT018,2184.0931881049814
FDP23,OUT010,2236.748285682106
FDC26,OUT013,2160.331398089384
FDR14,OUT010,2119.3255321825714
NCS41,OUT035,2212.0425257731204
FDF41,OUT035,2259.2520797475963
FDU34,OUT046,2169.5833798716617
DRH11,OUT046,2120.221626926442
FDM03,OUT013,2156.333459311682
