Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1776.3725372676108
FDW14,OUT017,1436.1100157371825
NCN55,OUT010,1859.0365084681312
FDQ58,OUT017,2632.1444503025923
FDY38,OUT027,5243.344537897639
FDH56,OUT046,1867.267709552204
FDL48,OUT018,513.6070631060763
FDC48,OUT027,2788.2998637493192
FDN33,OUT045,1417.8778847977062
FDA36,OUT017,3063.0588716339685
FDT44,OUT017,1913.393652627602
FDQ56,OUT045,1377.6886435581062
NCC54,OUT019,1684.2941644473913
FDU11,OUT049,2076.32112889082
DRL59,OUT013,752.9365648559597
FDM24,OUT049,2457.5461307778187
FDI57,OUT045,3406.424499248795
DRC12,OUT018,2525.7173711082987
NCM42,OUT027,3306.1445026744386
FDA46,OUT010,1093.2675899245917
FDA31,OUT013,2799.030273774125
NCJ31,OUT035,3809.771429921013
FDG52,OUT046,719.4847908014965
NCL19,OUT019,471.4817805898965
FDS10,OUT035,3019.1910559315743
FDX22,OUT010,1472.1383994780772
NCF19,OUT035,781.9566708467751
NCE06,OUT046,2545.458326317705
DRC27,OUT046,3583.6820586392823
FDE21,OUT035,2176.907848363297
NCR42,OUT019,-1314.476846617562
FDX51,OUT018,2897.038346018576
NCR06,OUT018,478.6146543808886
FDU31,OUT027,5007.790782791878
FDU59,OUT017,2736.440796363648
FDR03,OUT027,4804.542359263964
FDS49,OUT027,2775.430390538304
FDD48,OUT010,-35.45715623363094
NCF18,OUT017,2976.075110611943
NCD43,OUT027,3032.2137975927694
NCD54,OUT018,1927.5356703772436
FDY19,OUT010,126.95603933911434
NCY54,OUT017,2954.943967250431
NCL19,OUT018,2128.097220057294
FDP23,OUT010,1496.470038931799
FDC26,OUT013,1844.357505088371
FDR14,OUT010,-1087.0685006294134
NCS41,OUT035,2934.6068110361384
FDF41,OUT035,3974.3519348385607
FDU34,OUT046,2020.1383070077377
DRH11,OUT046,834.1399333764082
FDM03,OUT013,1646.0707800434561
FDS31,OUT017,3058.6147909578435
FDJ20,OUT017,2067.5918490913214
FDV44,OUT027,4555.7044189335975
FDG02,OUT049,3082.16374766211
FDA09,OUT013,2920.374623301598
FDT04,OUT013,538.6576668539956
FDL58,OUT019,2194.3723840854764
FDE52,OUT045,1499.1206381487095
FDW12,OUT035,2441.1300234483497
FDL51,OUT017,3404.164014929318
NCY42,OUT027,3845.0333983479322
FDR07,OUT017,1725.7493253554248
FDN40,OUT045,2247.2058617905523
FDB35,OUT027,3008.2908558600884
FDA22,OUT017,2708.614739405076
NCL06,OUT046,4280.6205578429945
FDI35,OUT013,3036.9492160429613
NCW42,OUT045,3311.5068508624895
NCX06,OUT049,2941.9239960713508
FDC37,OUT027,3205.2668606314746
FDZ14,OUT018,1739.0872114699805
DRG49,OUT049,4068.3385854281933
NCG06,OUT045,3904.699481615381
DRC36,OUT045,2485.8754229804235
FDV21,OUT019,61.148139025980186
FDB53,OUT046,2367.8357796841715
DRP47,OUT019,2082.7664961491255
FDA14,OUT013,2256.442349160747
DRC24,OUT035,2335.7513766123766
FDW21,OUT018,1333.2352792230854
NCH29,OUT046,1254.1989607250136
FDU58,OUT013,3103.081985909665
FDY27,OUT017,2999.1337061310114
FDV56,OUT035,2019.3105989564492
FDT59,OUT046,3558.5425772667995
FDB23,OUT046,3683.860244911142
FDR49,OUT045,738.062400384727
FDB03,OUT010,1889.954409717805
FDN39,OUT045,2568.3000324162135
FDX02,OUT027,4926.2396024748505
FDQ16,OUT027,3209.9476506841843
FDU35,OUT018,1352.6436469687123
NCT29,OUT013,1840.2052560012803
FDZ27,OUT046,824.0393569049111
FDN57,OUT017,2267.5848574625675
FDA03,OUT018,2006.7098709653765
FDZ36,OUT045,2993.923196016204
NCU05,OUT013,1563.6837757508401
FDT39,OUT018,2099.388183427733
FDK60,OUT017,1750.958208440155
FDZ25,OUT017,2950.8706940516686
FDG12,OUT046,1970.7565777804139
DRB01,OUT019,882.8479678200026
NCC43,OUT027,5233.920977812024
FDX13,OUT019,2068.089096482364
FDM22,OUT049,929.687702639945
FDJ03,OUT027,2179.7338887167466
FDU14,OUT018,3650.290654125679
FDB33,OUT010,719.9600891122559
FDP27,OUT046,2976.7058700501866
FDO38,OUT010,-708.5810738605602
FDE28,OUT027,5232.516114343511
FDO27,OUT035,1642.156263672864
DRL23,OUT027,3027.345826888765
FDS28,OUT046,936.574721003343
FDX24,OUT013,1558.898386959449
FDZ02,OUT035,1758.1833185055752
FDL46,OUT045,1716.707604127303
FDS60,OUT027,4298.737588797026
NCO06,OUT017,709.9978282038073
FDO16,OUT035,1440.9549903900204
FDC60,OUT049,1546.2385881459377
FDA48,OUT018,3167.1005604925112
FDZ36,OUT027,4546.068258591207
FDK27,OUT045,1931.673725270237
FDW23,OUT018,308.3800031134201
FDM14,OUT018,1439.5479441339435
FDM14,OUT013,1718.9577462036546
FDW60,OUT018,2538.8889927313594
FDE21,OUT013,2063.3299341075717
NCM42,OUT035,1996.0474176649955
FDY59,OUT010,-250.22172989136197
DRI49,OUT049,1541.770090292137
FDT28,OUT019,370.8247453215479
FDQ22,OUT018,451.6872557182962
FDR60,OUT049,1357.0530008950448
FDC50,OUT019,-385.45047049523373
FDV24,OUT013,2471.042073158156
DRF48,OUT010,1106.1193244612489
FDQ47,OUT046,689.4760049498113
DRN36,OUT049,1666.0331313003826
NCY06,OUT035,2328.4291288608697
FDE52,OUT035,1704.534091984609
NCB54,OUT045,1886.9504893315784
NCF31,OUT035,2410.0742127421677
FDJ08,OUT027,4410.365578448919
NCC07,OUT017,1664.0012031948268
NCD19,OUT027,2260.471361293274
FDL46,OUT049,1931.737908657642
FDM20,OUT045,3757.8650980553575
NCI06,OUT010,705.8724543096928
DRM11,OUT035,4442.591646199508
NCH07,OUT018,1939.6421128961447
FDS23,OUT013,2081.2913235569454
FDO49,OUT018,591.3264559565289
FDS35,OUT049,1156.1014830474744
DRK39,OUT045,1298.3576545449578
DRI39,OUT049,1183.3038263245635
FDV04,OUT017,2640.1355899613286
NCN14,OUT035,2990.373648485546
FDH08,OUT013,3642.3804239606725
FDS20,OUT046,2935.28889640609
FDV40,OUT049,1346.1610381755295
FDZ48,OUT010,-72.85039102640349
FDS24,OUT027,2914.951552627933
FDK44,OUT049,2915.5360150286456
FDS48,OUT045,2351.068483921899
FDK26,OUT010,1171.9113819887602
FDD23,OUT045,3004.3918843979905
NCH54,OUT017,2374.3786321728585
NCP14,OUT010,-187.8662497425383
FDM60,OUT010,-1289.5001588641976
FDV24,OUT017,2535.1346006763606
FDH08,OUT018,3297.584332928023
FDS12,OUT027,3457.634845835604
FDR39,OUT027,4354.092353351738
FDP12,OUT027,2086.3221123391572
DRF60,OUT027,5192.123081536294
FDC09,OUT035,1890.9660049313134
FDF50,OUT018,2838.3538895186207
FDG28,OUT035,3967.6091518643443
NCE19,OUT017,1001.8935059640278
NCM53,OUT010,-114.48722265081886
NCN18,OUT049,1916.3443039036556
FDF32,OUT035,3289.7905114302616
FDF11,OUT013,3837.9598263351963
DRI59,OUT049,3738.3841990296496
NCG54,OUT035,2751.7552133664694
FDM44,OUT046,1576.8031885897503
FDT57,OUT018,3360.3922919017846
FDV24,OUT046,2429.0742002125066
FDI50,OUT019,1905.489496370098
FDS09,OUT035,1031.0827491553785
NCC31,OUT027,3762.63585504578
FDQ07,OUT019,1670.5024387979797
FDC22,OUT017,3167.3965004034385
FDZ56,OUT046,2805.1745196454713
FDZ40,OUT019,-953.4832273323311
FDS46,OUT027,3392.155097795814
DRD24,OUT045,2137.3969168601943
FDV45,OUT017,3138.530256991386
FDL26,OUT045,2345.5969693377656
FDA56,OUT018,1714.073488670876
FDN27,OUT046,1839.5169755319753
FDM20,OUT049,3905.727759753301
FDO16,OUT017,1372.9714080583979
FDL03,OUT035,3227.2595006185916
FDE58,OUT046,1998.0078046214321
FDI02,OUT027,3424.652539236663
NCC55,OUT019,-1406.1855070971733
FDR03,OUT018,3091.3334439000428
FDB14,OUT017,1713.5540840995068
FDR45,OUT013,3876.46153665192
NCN07,OUT017,2151.0458893034697
FDM51,OUT019,-274.8669205489465
FDT52,OUT027,5232.821941819661
FDL26,OUT046,2392.4004668756616
NCZ42,OUT046,3949.9537319923456
DRI47,OUT019,515.4995439844677
FDW40,OUT013,2220.495714872799
FDN34,OUT046,2673.5883474581597
FDS01,OUT035,3016.903563606309
NCG55,OUT045,1721.5020131238857
FDC11,OUT035,1543.7048121153257
FDX35,OUT018,3358.9360798455937
NCB06,OUT046,2469.853622720664
FDR09,OUT019,2215.7235680381727
FDC53,OUT017,1662.0824936474592
FDY45,OUT013,4209.437197970861
FDA22,OUT010,723.3428793458786
FDE02,OUT035,1810.4817162590375
FDW21,OUT045,1542.6118092323113
FDV34,OUT046,1290.0007945615368
FDS59,OUT049,1907.7178144692384
NCW17,OUT017,2011.7879833873544
NCK54,OUT046,1917.5912670072212
FDG17,OUT019,1934.8582962083915
FDG35,OUT017,2873.2297753782636
FDD08,OUT010,-1198.2678571716187
NCO07,OUT017,3449.4488237272535
FDJ10,OUT010,294.0305602051511
FDW36,OUT017,1714.5203923826516
FDW21,OUT010,-286.77998286470756
FDY19,OUT017,2166.8243087469673
DRE03,OUT013,790.1872999963066
NCC55,OUT049,583.546650492412
FDH52,OUT010,-930.686236627803
FDO09,OUT017,4239.5151798300185
FDU43,OUT045,3818.1867371132284
FDX09,OUT010,868.058265796577
FDH40,OUT019,-632.0963226491374
FDW58,OUT017,1731.6962237495964
FDC47,OUT017,3680.3868542133932
NCR41,OUT035,1679.1378627832937
DRG49,OUT035,4108.788444070754
FDC52,OUT027,3876.152002514189
FDY13,OUT046,1384.2617395614568
FDY35,OUT013,971.5818992029599
FDI35,OUT017,3116.737243492395
NCU18,OUT049,2595.408236922624
FDY33,OUT018,2408.594801349308
FDC15,OUT027,3858.2666446802095
FDU01,OUT049,3176.3778749090793
NCU42,OUT046,2946.466408180938
NCV29,OUT018,2606.2094865113418
NCY30,OUT017,3146.3014598408145
FDQ46,OUT049,1928.0529939372495
FDG58,OUT027,3880.7368420354733
FDK33,OUT017,3531.378927489952
NCD07,OUT045,1690.6267117642192
NCX29,OUT027,3686.5477749202837
NCT42,OUT013,2286.529034319531
DRN59,OUT035,820.8021026136798
FDI44,OUT035,1566.747301114966
FDA45,OUT049,2868.5058272727915
FDP31,OUT045,1013.4769105575369
FDY01,OUT046,2017.1364869009012
FDT09,OUT018,1798.6401902418033
DRH03,OUT027,2956.8398958725284
FDA36,OUT018,2678.8923349417837
NCF31,OUT017,2382.494972670059
FDG14,OUT049,2531.4724010539494
FDG28,OUT027,5297.085403311964
FDU14,OUT049,4018.1577772775636
FDY47,OUT019,378.24737214230277
FDI56,OUT049,1695.6099628410625
DRD01,OUT013,965.5723396022308
FDM22,OUT046,874.7450698782768
FDH33,OUT013,636.8590954028964
DRZ24,OUT013,1840.6269635657832
NCQ38,OUT046,1697.4986930657105
FDO16,OUT027,2737.230810518783
FDU07,OUT027,3884.5275142985092
NCB07,OUT013,3063.2329464834265
FDU48,OUT045,2076.3974524272335
NCM43,OUT045,2591.806663892192
FDR31,OUT010,497.9772059475042
DRK49,OUT018,481.30454403414274
NCI30,OUT010,1702.7809332836123
DRD60,OUT017,2941.7542928599614
NCG19,OUT046,3612.464640324858
FDH12,OUT035,1744.5973178446097
FDM32,OUT035,1575.5934428450719
FDM27,OUT035,2561.253541694178
NCU53,OUT027,4315.153523421468
NCQ18,OUT046,1626.0435231047422
FDS10,OUT013,2882.265757761396
FDB33,OUT027,4049.823902599637
FDI12,OUT013,1579.0717755383557
NCW42,OUT013,3411.153325065467
NCC06,OUT018,1632.6536780165816
FDW02,OUT017,2035.4769459047002
NCD43,OUT017,1701.2315920338192
FDM57,OUT018,1011.2048345435512
FDA58,OUT017,3803.226950840649
FDK56,OUT046,2983.265694352775
FDP52,OUT045,3583.79913001108
FDW20,OUT018,1682.636542744678
FDS52,OUT049,1704.051783928759
NCT29,OUT018,1495.3357679274372
NCL54,OUT013,2971.2778583883314
FDC05,OUT045,3082.654604121731
FDF34,OUT035,3280.9588832902737
FDP03,OUT027,3460.1835616777903
FDD32,OUT010,-446.86075477221
FDZ10,OUT045,2058.7221837095494
FDZ40,OUT035,1092.7885829139457
FDD51,OUT018,408.32678459552653
NCY30,OUT019,1092.608803828222
FDP58,OUT017,3484.5045656823454
FDV49,OUT017,4343.949932716869
FDY24,OUT019,-892.9946665366792
NCO55,OUT017,1805.882076968759
FDR13,OUT017,2090.302590726158
FDS51,OUT017,1147.9728496389955
FDP26,OUT045,1483.9192394045117
NCB54,OUT027,3442.738514138425
FDF32,OUT017,3218.5943647021195
FDN31,OUT018,2671.112516170352
DRM48,OUT017,1002.2542664430339
FDN20,OUT049,2748.0035940146677
DRL01,OUT046,3681.3209751675604
FDV56,OUT049,1944.6443114101207
DRH13,OUT027,3177.83415398175
FDA03,OUT017,2387.742897445978
FDF47,OUT027,4940.65357456435
FDX32,OUT046,2411.8256619794233
FDX57,OUT049,1714.1347224477076
NCA30,OUT045,2894.179290789138
FDO49,OUT013,903.4572409688094
FDL04,OUT019,-356.77125379554525
DRM48,OUT035,1061.0810906846643
FDR16,OUT013,3427.8875684086865
NCC19,OUT018,2603.976306867028
NCE42,OUT045,3658.7874720625514
FDY24,OUT017,1170.2212825368313
FDH19,OUT049,2821.9472178662186
FDJ46,OUT013,2726.6671794874883
FDN45,OUT010,1523.380338823643
FDY08,OUT035,2549.706438218669
FDZ37,OUT035,1704.6924365754708
NCT30,OUT045,595.1161802369263
DRY23,OUT018,265.4192847776128
NCZ30,OUT018,1843.133365940599
FDC44,OUT018,1542.568829232032
FDB45,OUT035,1924.1428770532084
FDY04,OUT013,2785.8063141709645
FDM27,OUT046,2510.9934941779197
FDZ43,OUT017,4063.2820317373316
FDT39,OUT019,478.8624255998677
NCC06,OUT019,-18.04052515172782
FDL15,OUT027,3823.414698354468
FDL57,OUT017,4119.918026306784
FDU08,OUT046,1659.201464301766
FDK40,OUT017,4293.163282195967
FDQ12,OUT010,1770.6475667502377
FDS48,OUT017,2527.8082897010117
FDP09,OUT045,3253.4206563033677
FDW21,OUT049,1681.1295444642278
FDY25,OUT035,3185.9511712747426
DRE13,OUT017,1483.7352607299972
FDV43,OUT019,-1131.3396438018704
FDD22,OUT045,1740.3685570425573
FDM46,OUT019,-561.7127340222411
NCO30,OUT010,1091.8740641453235
FDM25,OUT046,2765.3123468305375
NCN41,OUT049,2059.5216919542745
FDU24,OUT045,1487.4270324667295
FDZ50,OUT046,2962.2926922736333
FDP45,OUT013,4014.8201835970076
NCM54,OUT045,2038.1658689930696
FDW10,OUT019,801.0266729129373
FDP20,OUT017,2147.4991634861553
FDK32,OUT046,2525.376631119914
FDN52,OUT049,1434.2743016031138
FDM58,OUT045,1680.066965413418
FDZ46,OUT027,3294.116011918217
NCA18,OUT018,1565.9370463717023
FDD35,OUT046,1997.9079258672268
NCK31,OUT035,946.0681862171202
FDI40,OUT027,3185.039793337305
FDT50,OUT019,-479.3000848169295
NCT06,OUT046,2508.3653932465836
FDT31,OUT035,3065.856271041302
FDT45,OUT049,870.3838092843246
FDT13,OUT045,2833.217574715849
FDO50,OUT045,1361.8716503809776
NCU18,OUT010,573.0802386865687
NCR54,OUT049,3202.526386220651
NCO18,OUT018,2614.727719030988
FDU09,OUT045,927.6337412764997
FDT13,OUT018,2633.1727418982587
FDE09,OUT046,1964.3260583051301
NCK53,OUT019,-262.6556963499686
FDG45,OUT049,3469.5266005071103
DRH15,OUT035,841.5671476351072
FDO21,OUT019,1646.9567650899417
FDD14,OUT027,4396.492779808619
FDC09,OUT046,1746.33806203409
FDH45,OUT027,2153.278042081554
FDV32,OUT046,1119.3480223308582
FDG12,OUT035,2068.6834957291753
FDS32,OUT013,2356.6046617692596
NCL55,OUT018,3767.1270281835477
DRE01,OUT035,3940.0333993739905
DRE15,OUT049,1320.3565465736276
NCL42,OUT045,3979.7455162381957
FDP31,OUT013,1089.8679301529976
FDN33,OUT018,1177.2913402582863
FDZ59,OUT046,2727.032498906972
FDE45,OUT010,1074.5310468954406
FDJ07,OUT013,1896.669600302077
FDQ45,OUT018,2756.7578240140106
FDM33,OUT027,4806.878974968898
FDO15,OUT010,-657.7018751394195
FDM46,OUT013,1394.8486422866613
FDR03,OUT045,3296.0418097016704
FDY49,OUT018,2590.4273366002226
FDQ60,OUT045,1916.0291837420245
FDW10,OUT049,2841.7197871833223
FDO51,OUT049,847.801932297283
FDJ40,OUT018,1433.1925532066784
FDS20,OUT018,2646.4001549730874
FDU45,OUT013,1916.5506829810402
FDV02,OUT035,2804.959309406117
FDN09,OUT046,3753.8706015116113
