Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1759.4728660583496
FDW14,OUT017,1636.6154136657715
NCN55,OUT010,564.2467842102051
FDQ58,OUT017,2442.1995277404785
FDY38,OUT027,6413.561542510986
FDH56,OUT046,1918.3701820373535
FDL48,OUT018,884.8167533874512
FDC48,OUT027,2530.787830352783
FDN33,OUT045,1197.4508781433105
FDA36,OUT017,3313.262912750244
FDT44,OUT017,1904.8433456420898
FDQ56,OUT045,1498.535442352295
NCC54,OUT019,5328321.004886627
FDU11,OUT049,2316.194107055664
DRL59,OUT013,1142.2058296203613
FDM24,OUT049,2318.7301292419434
FDI57,OUT045,4347.625785827637
DRC12,OUT018,1870.3948860168457
NCM42,OUT027,3293.031047821045
FDA46,OUT010,469.4207954406738
FDA31,OUT013,3015.9876670837402
NCJ31,OUT035,2857.6699867248535
FDG52,OUT046,819.9844169616699
NCL19,OUT019,1010.2618675231934
FDS10,OUT035,2937.119770050049
FDX22,OUT010,816.7908134460449
NCF19,OUT035,993.2309150695801
NCE06,OUT046,2276.4211807250977
DRC27,OUT046,2948.0139961242676
FDE21,OUT035,2220.2691650390625
NCR42,OUT019,119.57556915283203
FDX51,OUT018,2904.7554054260254
NCR06,OUT018,772.1459159851074
FDU31,OUT027,5770.838947296143
FDU59,OUT017,2324.291721343994
FDR03,OUT027,5643.255313873291
FDS49,OUT027,2319.738254547119
FDD48,OUT010,321.69371795654297
NCF18,OUT017,3233.826427459717
NCD43,OUT027,2299.4904289245605
NCD54,OUT018,2221.2231788635254
FDY19,OUT010,335.8306083679199
NCY54,OUT017,2763.5614280700684
NCL19,OUT018,1666.2641792297363
FDP23,OUT010,505.30068588256836
FDC26,OUT013,1491.2386474609375
FDR14,OUT010,404.83898544311523
NCS41,OUT035,3295.4501762390137
FDF41,OUT035,3405.634449005127
FDU34,OUT046,2243.855525970459
DRH11,OUT046,630.4582214355469
FDM03,OUT013,1865.052089691162
FDS31,OUT017,3408.3425827026367
