Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,572.579566486791
FDW14,OUT017,1245.7344739954278
NCN55,OUT010,-154096.12091032215
FDQ58,OUT017,4638.441062682978
FDY38,OUT027,7350.290747902036
FDH56,OUT046,2251.324278860615
FDL48,OUT018,763.8084122394503
FDC48,OUT027,-304804.94220862247
FDN33,OUT045,209.7386457423272
FDA36,OUT017,2443.4300858875213
FDT44,OUT017,563.9376850835106
FDQ56,OUT045,425.83278439278365
NCC54,OUT019,233396.85720515615
FDU11,OUT049,2578.251206387824
DRL59,OUT013,132654.18274106566
FDM24,OUT049,3475.6451343949593
FDI57,OUT045,-59544.360061963875
DRC12,OUT018,28420.929941070877
NCM42,OUT027,-5346.379110715672
FDA46,OUT010,1697.9403861146711
FDA31,OUT013,1343.800090779696
NCJ31,OUT035,-121057.67476707356
FDG52,OUT046,730.4461199672951
NCL19,OUT019,70598.54420657238
FDS10,OUT035,3964.0324055578385
FDX22,OUT010,105.36908569684601
NCF19,OUT035,47.726786085549975
NCE06,OUT046,-179.5455384766392
DRC27,OUT046,704989.5540136505
FDE21,OUT035,1490.351632640959
NCR42,OUT019,-5395.716583011061
FDX51,OUT018,2012.9511902497907
NCR06,OUT018,2019.909055889264
FDU31,OUT027,4500.054397053231
FDU59,OUT017,858.4720263244526
FDR03,OUT027,4436.66012222055
FDS49,OUT027,2343.1917242171767
FDD48,OUT010,-6201.479699525953
NCF18,OUT017,3138.129899689724
NCD43,OUT027,3043.0374376407417
NCD54,OUT018,-97618.26294140876
FDY19,OUT010,-1405.2885205946804
NCY54,OUT017,1522.810316905001
NCL19,OUT018,3737.49960177546
FDP23,OUT010,1346.6816679794865
FDC26,OUT013,1242.862895887025
FDR14,OUT010,-11456.886253132456
NCS41,OUT035,4067.4011794863327
FDF41,OUT035,1621.6905341361708
FDU34,OUT046,729.5610628983995
DRH11,OUT046,354131.8446400784
FDM03,OUT013,4344.720821568655
FDS31,OUT017,3490.580699289596
FDJ20,OUT017,3798.146651265124
FDV44,OUT027,5349.255378950533
FDG02,OUT049,2167.4518065034936
FDA09,OUT013,9473.821914346103
FDT04,OUT013,3554.455676764861
FDL58,OUT019,388.9619963580335
FDE52,OUT045,3483.525832709536
FDW12,OUT035,4557.067203762941
FDL51,OUT017,7173.273750709981
NCY42,OUT027,-2760.5349233663583
FDR07,OUT017,-866.0880643698329
FDN40,OUT045,3771.500587022776
FDB35,OUT027,-77657.62180020133
FDA22,OUT017,58009.79675040426
NCL06,OUT046,127.83307777848677
FDI35,OUT013,22392.679228561145
NCW42,OUT045,-1423.473669297964
NCX06,OUT049,10809.824209716782
FDC37,OUT027,-93634.20612328508
FDZ14,OUT018,254.2049968742067
DRG49,OUT049,-6309.398433404829
NCG06,OUT045,-6485.6876450749405
DRC36,OUT045,-286706.9068127825
FDV21,OUT019,-891.5063598955458
FDB53,OUT046,2414.8065709272923
DRP47,OUT019,1167138.6355499078
FDA14,OUT013,2131.563959303923
DRC24,OUT035,76772.60363554457
FDW21,OUT018,1596.8930054035445
NCH29,OUT046,22247.83559993762
FDU58,OUT013,2205.213852761226
FDY27,OUT017,2088.1436522392614
FDV56,OUT035,1977.2920034559502
FDT59,OUT046,5152.606203716627
FDB23,OUT046,-5951.028678210772
FDR49,OUT045,461.51100875946577
FDB03,OUT010,1674.2798342792375
FDN39,OUT045,6689.44558059625
FDX02,OUT027,5378.0671340345
FDQ16,OUT027,6953.594176121667
FDU35,OUT018,2825.54808425557
NCT29,OUT013,5650.021157290932
FDZ27,OUT046,-1701.3530164842668
FDN57,OUT017,1168.8282475610322
FDA03,OUT018,731.8042155049334
FDZ36,OUT045,1005.2028377831739
NCU05,OUT013,-11516.951970248338
FDT39,OUT018,3328.772443665861
FDK60,OUT017,-329.7110184847552
FDZ25,OUT017,802.1223257381062
FDG12,OUT046,3089.2465677121945
DRB01,OUT019,-1319155.760125131
NCC43,OUT027,-30275.50009599616
FDX13,OUT019,-14598.374075925298
FDM22,OUT049,2165.205726690154
FDJ03,OUT027,1150.824793036707
FDU14,OUT018,3951.707737685152
FDB33,OUT010,97.13724691132666
FDP27,OUT046,1834.30477283473
FDO38,OUT010,-966.6028416246118
FDE28,OUT027,8390.456428185717
FDO27,OUT035,1344.1924887073983
DRL23,OUT027,-164015.54434257545
FDS28,OUT046,1069.5714693739137
FDX24,OUT013,689.3438636769133
FDZ02,OUT035,-1425.2197105083906
FDL46,OUT045,1821.9270630796964
FDS60,OUT027,2868.7248235271836
NCO06,OUT017,838.8118627190415
FDO16,OUT035,1299.639340387861
FDC60,OUT049,-1841226.1045194708
FDA48,OUT018,4118.398260766437
FDZ36,OUT027,2884.255419645604
FDK27,OUT045,538.0973843604152
FDW23,OUT018,1339.1305733124027
FDM14,OUT018,2091.437887097971
FDM14,OUT013,2773.9951368222537
FDW60,OUT018,2112.3976079590793
FDE21,OUT013,2320.317488568049
NCM42,OUT035,12595.143942469178
FDY59,OUT010,129.2206885846972
DRI49,OUT049,-70257.89397847312
FDT28,OUT019,-2231.5194498634373
FDQ22,OUT018,1354.5190824300807
FDR60,OUT049,-1884.3436007847486
FDC50,OUT019,2814.448676276166
FDV24,OUT013,3344.8427682161855
DRF48,OUT010,218949.55741352533
FDQ47,OUT046,-1751.639092661586
DRN36,OUT049,-496211.9285463018
NCY06,OUT035,6082.909966878971
FDE52,OUT035,2581.43591086127
NCB54,OUT045,219.68676195075386
NCF31,OUT035,1672.016734535835
FDJ08,OUT027,8566.121962617763
NCC07,OUT017,-21388.98804163499
NCD19,OUT027,93.57696979507455
FDL46,OUT049,1429.9548924413102
FDM20,OUT045,6157.780233423313
NCI06,OUT010,1015124.0472552638
DRM11,OUT035,-10010.539412735816
NCH07,OUT018,1374.4712746059813
FDS23,OUT013,3393.539393033978
FDO49,OUT018,6989.642953206901
FDS35,OUT049,1373.0278284650121
DRK39,OUT045,-183945.7120966372
DRI39,OUT049,951690.7405076554
FDV04,OUT017,2636.891535849456
NCN14,OUT035,-434.33785440339125
FDH08,OUT013,7205.2533000085095
FDS20,OUT046,2297.8354359250807
FDV40,OUT049,1715.1874446553702
FDZ48,OUT010,631.9145841034187
FDS24,OUT027,5472.503658770496
FDK44,OUT049,-3938.738410496473
FDS48,OUT045,-13.198347830533748
FDK26,OUT010,-5423.477500499866
FDD23,OUT045,5157.908525200473
