Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1776.77587890625
FDW14,OUT017,1434.70751953125
NCN55,OUT010,1857.23193359375
FDQ58,OUT017,2632.85498046875
FDY38,OUT027,5242.49951171875
FDH56,OUT046,1866.98193359375
FDL48,OUT018,513.09375
FDC48,OUT027,2789.97314453125
FDN33,OUT045,1416.52197265625
FDA36,OUT017,3063.97119140625
FDT44,OUT017,1912.39892578125
FDQ56,OUT045,1376.76416015625
NCC54,OUT019,1678.724609375
FDU11,OUT049,2075.89501953125
DRL59,OUT013,745.6376953125
FDM24,OUT049,2456.880859375
FDI57,OUT045,3410.4404296875
DRC12,OUT018,2518.22119140625
NCM42,OUT027,3309.578125
FDA46,OUT010,1090.92578125
FDA31,OUT013,2798.26806640625
NCJ31,OUT035,3807.07373046875
FDG52,OUT046,718.64501953125
NCL19,OUT019,472.9873046875
FDS10,OUT035,3019.62841796875
FDX22,OUT010,1472.5107421875
NCF19,OUT035,779.654296875
NCE06,OUT046,2545.517578125
DRC27,OUT046,3581.96630859375
FDE21,OUT035,2177.97607421875
NCR42,OUT019,-1313.818359375
FDX51,OUT018,2898.1396484375
NCR06,OUT018,480.39306640625
FDU31,OUT027,5009.62353515625
FDU59,OUT017,2736.0810546875
FDR03,OUT027,4806.60791015625
FDS49,OUT027,2775.7998046875
FDD48,OUT010,-35.6376953125
NCF18,OUT017,2973.2001953125
NCD43,OUT027,3031.576171875
NCD54,OUT018,1926.0126953125
FDY19,OUT010,126.7255859375
NCY54,OUT017,2956.73046875
NCL19,OUT018,2130.05126953125
FDP23,OUT010,1495.67138671875
FDC26,OUT013,1843.712890625
FDR14,OUT010,-1092.68896484375
NCS41,OUT035,2932.6435546875
FDF41,OUT035,3972.98486328125
FDU34,OUT046,2020.15185546875
DRH11,OUT046,822.791015625
FDM03,OUT013,1644.0927734375
FDS31,OUT017,3059.376953125
FDJ20,OUT017,2066.83349609375
FDV44,OUT027,4557.40283203125
FDG02,OUT049,3082.1572265625
FDA09,OUT013,2921.62939453125
FDT04,OUT013,537.27685546875
FDL58,OUT019,2193.17724609375
FDE52,OUT045,1498.36474609375
FDW12,OUT035,2441.77197265625
FDL51,OUT017,3402.47509765625
NCY42,OUT027,3849.6328125
FDR07,OUT017,1725.61767578125
FDN40,OUT045,2245.8408203125
FDB35,OUT027,3009.60009765625
FDA22,OUT017,2708.29833984375
NCL06,OUT046,4284.20361328125
FDI35,OUT013,3037.3125
NCW42,OUT045,3309.34814453125
NCX06,OUT049,2942.78076171875
FDC37,OUT027,3206.7431640625
FDZ14,OUT018,1738.10009765625
DRG49,OUT049,4070.00927734375
NCG06,OUT045,3903.484375
DRC36,OUT045,2478.56640625
FDV21,OUT019,57.779296875
FDB53,OUT046,2367.17724609375
DRP47,OUT019,2093.3310546875
FDA14,OUT013,2254.35107421875
DRC24,OUT035,2328.494140625
FDW21,OUT018,1334.11865234375
NCH29,OUT046,1248.29833984375
FDU58,OUT013,3104.01708984375
FDY27,OUT017,2998.2607421875
FDV56,OUT035,2020.62548828125
FDT59,OUT046,3558.89306640625
FDB23,OUT046,3685.53076171875
FDR49,OUT045,736.79150390625
FDB03,OUT010,1885.63671875
FDN39,OUT045,2568.63916015625
FDX02,OUT027,4925.2705078125
FDQ16,OUT027,3210.81201171875
FDU35,OUT018,1352.33935546875
NCT29,OUT013,1836.9560546875
FDZ27,OUT046,823.05615234375
FDN57,OUT017,2267.0068359375
FDA03,OUT018,2005.4755859375
FDZ36,OUT045,2994.51513671875
NCU05,OUT013,1567.87060546875
FDT39,OUT018,2100.08251953125
FDK60,OUT017,1750.958984375
FDZ25,OUT017,2952.23583984375
FDG12,OUT046,1971.3779296875
DRB01,OUT019,872.1767578125
NCC43,OUT027,5231.7666015625
FDX13,OUT019,2067.67578125
FDM22,OUT049,929.40869140625
FDJ03,OUT027,2178.03173828125
FDU14,OUT018,3649.3603515625
FDB33,OUT010,720.1669921875
FDP27,OUT046,2975.830078125
FDO38,OUT010,-710.76416015625
FDE28,OUT027,5233.33935546875
FDO27,OUT035,1640.35986328125
DRL23,OUT027,3021.04541015625
FDS28,OUT046,936.70556640625
FDX24,OUT013,1559.4443359375
FDZ02,OUT035,1757.4033203125
FDL46,OUT045,1715.9736328125
FDS60,OUT027,4299.8603515625
NCO06,OUT017,710.69970703125
FDO16,OUT035,1440.83349609375
FDC60,OUT049,1546.35888671875
FDA48,OUT018,3166.46337890625
FDZ36,OUT027,4548.4853515625
FDK27,OUT045,1932.02783203125
FDW23,OUT018,307.67431640625
FDM14,OUT018,1439.19384765625
FDM14,OUT013,1718.498046875
FDW60,OUT018,2539.71240234375
FDE21,OUT013,2064.1865234375
NCM42,OUT035,1998.8388671875
FDY59,OUT010,-250.20361328125
DRI49,OUT049,1544.6494140625
FDT28,OUT019,369.33251953125
FDQ22,OUT018,451.9609375
FDR60,OUT049,1356.162109375
FDC50,OUT019,-387.8232421875
FDV24,OUT013,2470.5439453125
